variable;value;target_energy;target_loudness;target_danceability;target_valence;target_acousticness;target_liveness;target_instrumentalness;seed_genres
meteo;sunny;0;0;0.3;0.4;0;0;0;sunny
meteo;cloudy;0;0;-0.2;-0.2;0;0;0;
meteo;rainy;0;0;-0.3;-0.4;0;0;0;
meteo;storm;0;5;0;0;0;0.5;0.3;
meteo;fog;0;0;0;-0.4;0;0;0.2;
meteo;snow;0;0;0;0.2;0;0;0.2;
day/night;night;0;0;0;0;0;0.3;0.3;
day/night;afternoon;0;0;0;0;0;0;0;
day/night;morning;0.1;0;0;0;0;0;0;
day/night;sunset;-0.3;0;0;-0.2;0.4;0;0;
day/night;sunrise;0.2;0;0;0.2;0.3;0;0;
mood;angry;0;0;0;0.5;0;0;0;
mood;happy;0.2;0;0.1;0;0;0;0;happy
mood;neutral;0;0;0;0;0;0;0;
mood;fear;0;0;0;0.5;0;0;0;
mood;surprised;0;0;0;0;0;0;0;
mood;sad;0.3;0;0.3;0.3;0;0;0;
mood;disgust;0;0;0;0.5;0;0;0;
